start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"2.571189985,49.00665965","8.5618685,47.4524688",2.571189985,49.00665965,8.5618685,47.4524688,0102000020E61000000200000098050B0ECC910440F6793139DA8048401E4E603AAD1F2140ED3A657FEAB94740,27,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"7.138936856,50.8678001","8.5618685,47.4524688",7.138936856,50.8678001,8.5618685,47.4524688,0102000020E6100000020000008FEA9276458E1C40967BDC12146F49401E4E603AAD1F2140ED3A657FEAB94740,28,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"12.65070733,55.6089508","6.1089,46.2369",12.65070733,55.6089508,6.1089,46.2369,0102000020E610000002000000263CDB82294D2940C06F8D19F2CD4B403A234A7B836F184011363CBD521E4740,29,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"12.65070733,55.6089508","8.5618685,47.4524688",12.65070733,55.6089508,8.5618685,47.4524688,0102000020E610000002000000263CDB82294D2940C06F8D19F2CD4B401E4E603AAD1F2140ED3A657FEAB94740,30,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-45.8716233,-23.2084514","6.1089,46.2369",-45.8716233,-23.2084514,6.1089,46.2369,0102000020E6100000020000003FF72F5A91EF46C030CE29125D3537C03A234A7B836F184011363CBD521E4740,31,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-45.8716233,-23.2084514","8.5618685,47.4524688",-45.8716233,-23.2084514,8.5618685,47.4524688,0102000020E6100000020000003FF72F5A91EF46C030CE29125D3537C01E4E603AAD1F2140ED3A657FEAB94740,32,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-84.631372,40.168765","36.9285,-1.3197",-84.631372,40.168765,36.9285,-1.3197,0102000020E6100000020000000CE71A66682855C0CFDA6D179A154440022B8716D9764240CC7F48BF7D1DF5BF,33,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"9.9646335,49.7961117","8.5618685,47.4524688",9.9646335,49.7961117,8.5618685,47.4524688,0102000020E61000000200000085402E71E4ED234042BBF9FCE6E548401E4E603AAD1F2140ED3A657FEAB94740,34,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"-75.4013315,38.6920451","8.5618685,47.4524688",-75.4013315,38.6920451,8.5618685,47.4524688,0102000020E610000002000000B2D6506AAFD952C0B4ED0FEF945843401E4E603AAD1F2140ED3A657FEAB94740,35,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"9.716074991,4.0141864","6.6837962,48.3486145",9.716074991,4.0141864,6.6837962,48.3486145,0102000020E61000000200000030A89761A16E2340203130E1860E10402C84301235BC1A40A83462669F2C4840,36,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"9.716074991,4.0141864","11.55046699,3.72292195",9.716074991,4.0141864,11.55046699,3.72292195,0102000020E61000000200000030A89761A16E2340203130E1860E1040B6272FCFD6192740007CA64D8BC80D40,37,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"37.90601822,55.4083053","6.1089,46.2369",37.90601822,55.4083053,6.1089,46.2369,0102000020E610000002000000753DB067F8F3424049241B5943B44B403A234A7B836F184011363CBD521E4740,38,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"37.90601822,55.4083053","8.5618685,47.4524688",37.90601822,55.4083053,8.5618685,47.4524688,0102000020E610000002000000753DB067F8F3424049241B5943B44B401E4E603AAD1F2140ED3A657FEAB94740,39,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"22.71972485,47.3312395","50.63034274,26.27017855",22.71972485,47.3312395,50.63034274,26.27017855,0102000020E61000000200000056DE44E33FB836405BD2510E66AA474018C92612AF504940A954E46B2A453A40,40,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"22.71972485,47.3312395","8.5570492,50.042758",22.71972485,47.3312395,8.5570492,50.042758,0102000020E61000000200000056DE44E33FB836405BD2510E66AA4740A386808D351D214039D2191879054940,41,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
